Likelihood | Class | Feature
5.20945336562895 | 0 | i have to
4.807354922057604 | 0 | it is not
4.584962500721155 | 1 | be nice if
4.523561956057013 | 0 | is not NOT_possible
4.459431618637297 | 0 | not NOT_possible NOT_to
4.0443941193584525 | 1 | would be nice
4.0 | 0 | this is the
3.8073549220576046 | 1 | be great to
3.8073549220576037 | 0 | i try to
3.700439718141093 | 1 | if we could
3.700439718141092 | 0 | when i try
3.700439718141092 | 0 | i don't know
3.700439718141092 | 0 | is not NOT_supported
3.584962500721158 | 1 | would like the
3.5849625007211565 | 0 | there is a
3.5849625007211565 | 0 | the problem is
3.5849625007211565 | 0 | us library windows
3.5849625007211565 | 0 | library windows apps
3.5849625007211565 | 0 | but i can't
3.5849625007211565 | 0 | it does not
3.5849625007211565 | 0 | windows phone app
3.5849625007211565 | 0 | and so on
3.5849625007211565 | 0 | i do not
3.523561956057013 | 0 | at the moment
3.4594316186372978 | 0 | is set to
3.4594316186372978 | 0 | currently it is
3.4594316186372978 | 0 | i am using
3.459431618637297 | 1 | nice to be
3.459431618637297 | 1 | to have an
3.39231742277876 | 1 | there should be
3.369233809665719 | 0 | there is no
3.3219280948873626 | 0 | do not NOT_have
3.3219280948873626 | 0 | NOT_be NOT_able NOT_to
3.3219280948873626 | 0 | it is a
3.3219280948873626 | 0 | i noticed that
3.3219280948873626 | 0 | and it is
3.3219280948873626 | 0 | i am not
3.3219280948873626 | 0 | is there any
3.3219280948873626 | 0 | version of the
3.3219280948873626 | 0 | but it is
3.3219280948873626 | 0 | i search for
3.321928094887362 | 1 | should be an
3.321928094887362 | 1 | be nice to
3.321928094887362 | 1 | to see a
3.1699250014423126 | 0 | the sd card
3.1699250014423126 | 0 | this is not
3.1699250014423126 | 0 | of the page
3.1699250014423126 | 1 | like to be
3.1699250014423126 | 1 | would be cool
3.1699250014423126 | 0 | doesn't seem to
3.1699250014423126 | 0 | lot of time
3.1699250014423126 | 0 | that it is
3.1699250014423126 | 0 | have to be
