Summary: Accuracy: 0.9411057692307693, Precision: 0.6759259259259259, Recall: 0.8390804597701149, F1: 0.7487179487179486


Classification Answers Comparison:

Review_Identifier | Gold | Prediction
9569 | 1 | 1
9576 | 1 | 1
9577 | 1 | 1
9579 | 1 | 1
9580 | 1 | 1
9587 | 1 | 1
9599 | 1 | 1
9626 | 1 | 1
9628 | 1 | 1
9630 | 1 | 1
9636 | 1 | 1
9657 | 1 | 1
9660 | 1 | 1
9670 | 1 | 1
9686 | 1 | 1
9702 | 0 | 1
9706 | 0 | 0
9709 | 0 | 1
9735 | 1 | 1
9750 | 1 | 0
9754 | 1 | 1
9755 | 1 | 1
9756 | 0 | 0
9794 | 1 | 1
9796 | 1 | 1
9799 | 1 | 1
9819 | 1 | 1
9829 | 1 | 1
9873 | 0 | 0
9926 | 1 | 1
9929 | 0 | 0
9978 | 1 | 0
9980 | 1 | 1
9994 | 1 | 1
10007 | 0 | 0
10027 | 1 | 1
10028 | 1 | 0
10168 | 1 | 1
10203 | 1 | 0
10204 | 1 | 1
10212 | 1 | 1
10260 | 1 | 1
10267 | 1 | 0
10297 | 1 | 1
10389 | 1 | 1
10408 | 1 | 1
10459 | 1 | 1
10469 | 1 | 1
10474 | 1 | 1
10492 | 1 | 1
10494 | 1 | 1
10540 | 1 | 1
10541 | 1 | 1
10573 | 1 | 1
10583 | 1 | 1
10600 | 1 | 1
10633 | 1 | 1
10636 | 1 | 1
10649 | 1 | 1
10655 | 1 | 1
10677 | 1 | 0
10678 | 1 | 1
2861 | 0 | 0
2864 | 0 | 0
2874 | 0 | 0
2894 | 0 | 0
2897 | 0 | 0
2903 | 0 | 1
2909 | 0 | 1
2913 | 0 | 0
2927 | 0 | 1
2930 | 0 | 1
2931 | 0 | 1
2935 | 0 | 0
2940 | 0 | 0
2955 | 0 | 0
2977 | 0 | 0
2996 | 0 | 0
3000 | 0 | 0
3001 | 0 | 1
3011 | 0 | 0
3019 | 0 | 0
3029 | 0 | 0
3034 | 0 | 1
3035 | 0 | 0
3045 | 0 | 0
3057 | 0 | 0
3064 | 0 | 0
3065 | 0 | 0
3073 | 0 | 0
3082 | 0 | 1
3102 | 0 | 0
3115 | 0 | 0
3118 | 0 | 0
3123 | 0 | 0
3127 | 0 | 0
3135 | 0 | 0
3153 | 0 | 0
3154 | 0 | 0
3167 | 0 | 0
3176 | 0 | 1
3183 | 0 | 0
3184 | 0 | 0
3188 | 0 | 1
3194 | 0 | 0
3240 | 0 | 0
3243 | 0 | 0
3248 | 0 | 0
3253 | 0 | 0
3256 | 0 | 0
3257 | 0 | 0
3261 | 0 | 0
3264 | 0 | 1
3270 | 0 | 0
3271 | 1 | 1
3284 | 0 | 0
3304 | 0 | 0
3309 | 0 | 0
3311 | 0 | 0
3336 | 0 | 0
3348 | 0 | 0
3357 | 0 | 0
3386 | 0 | 0
3390 | 0 | 0
3394 | 0 | 0
3417 | 0 | 0
3430 | 0 | 0
3434 | 0 | 0
3435 | 0 | 0
3527 | 0 | 0
3528 | 0 | 0
3530 | 0 | 1
3535 | 0 | 0
3574 | 0 | 1
3600 | 0 | 0
3686 | 0 | 0
3697 | 1 | 1
3706 | 0 | 0
3718 | 0 | 0
3722 | 0 | 0
3748 | 0 | 0
3766 | 0 | 0
3767 | 0 | 0
3785 | 0 | 0
3786 | 0 | 0
3791 | 1 | 1
3796 | 0 | 0
3797 | 0 | 0
3798 | 0 | 0
3816 | 0 | 0
3841 | 0 | 0
3844 | 0 | 0
3846 | 0 | 0
3857 | 0 | 0
3861 | 0 | 0
3873 | 0 | 0
3891 | 0 | 0
3893 | 0 | 1
3918 | 0 | 0
3929 | 0 | 1
3930 | 0 | 0
3931 | 0 | 0
3956 | 0 | 1
3964 | 0 | 0
3971 | 0 | 0
3979 | 0 | 0
3991 | 0 | 0
4014 | 0 | 0
4046 | 0 | 0
4081 | 0 | 1
4085 | 0 | 0
4089 | 0 | 0
4097 | 0 | 0
4098 | 0 | 0
4100 | 0 | 0
4101 | 0 | 0
4110 | 0 | 0
4117 | 0 | 0
4118 | 0 | 0
4133 | 0 | 0
4140 | 0 | 0
4169 | 0 | 0
4177 | 0 | 0
4178 | 0 | 0
4192 | 0 | 1
4222 | 0 | 0
4224 | 0 | 0
4228 | 0 | 0
4232 | 0 | 0
4249 | 0 | 0
4250 | 0 | 0
4256 | 0 | 0
4261 | 0 | 0
4265 | 0 | 0
4271 | 0 | 0
4272 | 0 | 0
4273 | 0 | 0
4287 | 0 | 1
4293 | 0 | 0
4317 | 0 | 1
4329 | 0 | 0
4353 | 0 | 0
4366 | 0 | 1
4382 | 0 | 1
4388 | 0 | 0
4402 | 0 | 0
4404 | 0 | 0
4428 | 0 | 0
4442 | 0 | 0
4456 | 0 | 0
4464 | 0 | 0
