Summary: Accuracy: 0.8327702702702703, Precision: 0.8634686346863468, Recall: 0.7905405405405406, F1: 0.8253968253968254


Classification Answers Comparison:

Review_Identifier | Gold | Prediction
13101 | 1 | 0
13121 | 0 | 0
13131 | 0 | 0
13132 | 0 | 0
13133 | 1 | 0
13161 | 1 | 1
13182 | 1 | 1
13191 | 1 | 0
13192 | 1 | 1
13196 | 1 | 1
13197 | 1 | 1
13198 | 1 | 1
13199 | 1 | 1
131910 | 1 | 0
131912 | 1 | 0
13201 | 0 | 0
13211 | 0 | 0
13212 | 1 | 1
13241 | 0 | 0
13253 | 1 | 1
13281 | 1 | 1
13283 | 1 | 1
13291 | 1 | 1
13292 | 1 | 0
13304 | 0 | 0
13305 | 0 | 0
13306 | 0 | 0
13307 | 0 | 0
13308 | 0 | 0
13309 | 1 | 1
133010 | 1 | 1
133011 | 0 | 0
133012 | 0 | 0
133013 | 0 | 0
133014 | 1 | 0
133015 | 0 | 0
133016 | 0 | 0
133024 | 1 | 1
133025 | 1 | 0
13311 | 1 | 0
13321 | 1 | 1
13351 | 1 | 1
13362 | 1 | 1
13372 | 0 | 0
13373 | 0 | 0
13381 | 0 | 0
13382 | 0 | 1
13383 | 0 | 0
13391 | 0 | 0
13392 | 0 | 0
13421 | 1 | 1
13422 | 0 | 0
13423 | 0 | 0
13431 | 1 | 1
13433 | 1 | 1
13442 | 0 | 0
13443 | 0 | 0
13451 | 1 | 1
13461 | 0 | 0
13481 | 0 | 0
13482 | 1 | 1
13484 | 1 | 1
13491 | 0 | 0
13501 | 0 | 0
13533 | 0 | 0
13534 | 1 | 1
13535 | 1 | 1
13536 | 1 | 1
13537 | 1 | 1
13538 | 0 | 0
13539 | 0 | 1
135310 | 1 | 1
13562 | 0 | 0
13572 | 1 | 1
13585 | 1 | 1
13586 | 1 | 1
135813 | 1 | 1
13596 | 1 | 1
13612 | 1 | 0
13618 | 1 | 0
136110 | 1 | 0
136115 | 1 | 0
13633 | 1 | 1
13662 | 1 | 0
13681 | 0 | 1
13691 | 0 | 0
13692 | 1 | 1
13701 | 1 | 1
13711 | 0 | 0
13721 | 1 | 1
13731 | 0 | 0
13741 | 0 | 0
13742 | 0 | 0
13751 | 1 | 1
13752 | 1 | 1
13753 | 1 | 0
13762 | 0 | 0
13763 | 0 | 0
13764 | 0 | 0
13765 | 0 | 0
138014 | 0 | 0
138015 | 0 | 0
138016 | 0 | 1
138017 | 1 | 1
13811 | 0 | 0
13812 | 0 | 0
13813 | 0 | 0
13814 | 0 | 0
13821 | 1 | 0
13822 | 1 | 0
13831 | 0 | 0
13832 | 0 | 0
13835 | 0 | 0
13836 | 1 | 1
13837 | 0 | 0
13838 | 0 | 0
13839 | 0 | 1
138310 | 1 | 1
13862 | 1 | 1
13911 | 1 | 1
13951 | 1 | 1
13953 | 1 | 1
13954 | 1 | 1
13981 | 1 | 1
13991 | 1 | 1
14041 | 0 | 0
14042 | 0 | 0
14044 | 0 | 1
14045 | 0 | 0
14046 | 0 | 1
14047 | 0 | 1
14048 | 1 | 1
14049 | 0 | 0
140410 | 0 | 0
140411 | 0 | 0
140412 | 0 | 0
140413 | 0 | 0
140414 | 0 | 1
140415 | 0 | 0
14051 | 0 | 0
14061 | 1 | 1
14071 | 0 | 0
14072 | 0 | 0
14074 | 1 | 0
14081 | 1 | 0
14082 | 0 | 0
14091 | 0 | 0
14092 | 0 | 0
14093 | 0 | 0
14094 | 1 | 1
14111 | 1 | 0
14131 | 0 | 0
14141 | 1 | 1
14181 | 1 | 1
14192 | 1 | 0
14193 | 1 | 1
14211 | 1 | 1
14213 | 1 | 0
14221 | 1 | 1
14241 | 0 | 0
14242 | 0 | 0
14251 | 0 | 0
14252 | 0 | 0
14261 | 0 | 1
14262 | 0 | 0
14263 | 0 | 0
14282 | 0 | 0
14291 | 0 | 0
14292 | 0 | 1
14293 | 1 | 1
14294 | 0 | 0
14295 | 0 | 0
14297 | 1 | 1
14298 | 0 | 1
14299 | 0 | 0
14301 | 1 | 1
14311 | 0 | 1
14312 | 0 | 0
14321 | 1 | 1
14331 | 0 | 0
14341 | 0 | 0
14351 | 1 | 0
14352 | 0 | 0
14353 | 0 | 0
14354 | 0 | 0
14371 | 0 | 0
14372 | 0 | 0
14381 | 1 | 1
14382 | 0 | 1
14401 | 0 | 1
14402 | 0 | 0
14404 | 1 | 0
144015 | 1 | 1
144016 | 1 | 0
14433 | 0 | 0
14434 | 0 | 0
14435 | 0 | 0
14436 | 0 | 0
14437 | 0 | 0
14438 | 0 | 0
14439 | 1 | 1
144310 | 1 | 1
14442 | 1 | 1
14443 | 0 | 0
14451 | 0 | 0
14461 | 1 | 1
14462 | 0 | 0
14463 | 1 | 1
14481 | 1 | 1
14491 | 1 | 1
14492 | 0 | 0
14493 | 1 | 1
14494 | 1 | 1
14495 | 0 | 0
14496 | 0 | 0
14497 | 0 | 0
144910 | 1 | 1
144917 | 0 | 0
14512 | 1 | 0
14523 | 1 | 0
14541 | 1 | 1
14551 | 1 | 1
14564 | 1 | 0
14591 | 1 | 0
14606 | 1 | 1
14642 | 0 | 0
14643 | 0 | 0
14651 | 0 | 0
14652 | 0 | 0
14663 | 1 | 0
14671 | 1 | 1
14691 | 1 | 1
14701 | 1 | 1
14702 | 1 | 1
14711 | 1 | 1
14722 | 1 | 1
14731 | 1 | 0
14763 | 1 | 0
14771 | 1 | 1
14772 | 1 | 0
14792 | 1 | 0
14795 | 1 | 0
14796 | 1 | 1
14797 | 1 | 1
14812 | 1 | 1
14814 | 1 | 1
14853 | 1 | 0
148510 | 1 | 1
148512 | 1 | 1
14887 | 1 | 1
14901 | 1 | 1
14911 | 0 | 0
14921 | 0 | 0
14922 | 0 | 0
14923 | 0 | 0
14924 | 1 | 1
14987 | 1 | 0
14991 | 1 | 1
15008 | 1 | 1
15009 | 1 | 0
15041 | 1 | 0
15076 | 1 | 1
15091 | 1 | 1
15126 | 1 | 1
15128 | 1 | 1
15143 | 1 | 1
151411 | 1 | 1
151416 | 1 | 1
15152 | 1 | 1
15156 | 1 | 1
15158 | 1 | 1
151510 | 1 | 1
15193 | 1 | 1
15195 | 1 | 0
15196 | 1 | 1
15202 | 1 | 1
15203 | 0 | 0
15204 | 1 | 1
15205 | 1 | 0
15211 | 0 | 0
15213 | 0 | 0
15221 | 1 | 1
15231 | 0 | 0
15232 | 0 | 0
15233 | 1 | 1
15234 | 0 | 0
15235 | 0 | 0
