Summary: Accuracy: 0.6875, Precision: 0.7875647668393783, Recall: 0.5135135135135135, F1: 0.621676891615542


Classification Answers Comparison:

Review_Identifier | Gold | Prediction
13101 | 1 | 0
13121 | 0 | 0
13131 | 0 | 0
13132 | 0 | 0
13133 | 1 | 0
13161 | 1 | 1
13182 | 1 | 0
13191 | 1 | 1
13192 | 1 | 1
13196 | 1 | 1
13197 | 1 | 1
13198 | 1 | 1
13199 | 1 | 1
131910 | 1 | 1
131912 | 1 | 0
13201 | 0 | 0
13211 | 0 | 1
13212 | 1 | 0
13241 | 0 | 0
13253 | 1 | 1
13281 | 1 | 0
13283 | 1 | 1
13291 | 1 | 0
13292 | 1 | 0
13304 | 0 | 0
13305 | 0 | 0
13306 | 0 | 0
13307 | 0 | 0
13308 | 0 | 0
13309 | 1 | 0
133010 | 1 | 1
133011 | 0 | 0
133012 | 0 | 0
133013 | 0 | 0
133014 | 1 | 0
133015 | 0 | 0
133016 | 0 | 0
133024 | 1 | 0
133025 | 1 | 1
13311 | 1 | 0
13321 | 1 | 1
13351 | 1 | 0
13362 | 1 | 0
13372 | 0 | 0
13373 | 0 | 0
13381 | 0 | 0
13382 | 0 | 1
13383 | 0 | 0
13391 | 0 | 0
13392 | 0 | 0
13421 | 1 | 1
13422 | 0 | 0
13423 | 0 | 0
13431 | 1 | 1
13433 | 1 | 0
13442 | 0 | 0
13443 | 0 | 0
13451 | 1 | 0
13461 | 0 | 0
13481 | 0 | 0
13482 | 1 | 0
13484 | 1 | 1
13491 | 0 | 0
13501 | 0 | 0
13533 | 0 | 0
13534 | 1 | 0
13535 | 1 | 0
13536 | 1 | 0
13537 | 1 | 1
13538 | 0 | 1
13539 | 0 | 0
135310 | 1 | 1
13562 | 0 | 0
13572 | 1 | 1
13585 | 1 | 0
13586 | 1 | 0
135813 | 1 | 1
13596 | 1 | 0
13612 | 1 | 0
13618 | 1 | 0
136110 | 1 | 0
136115 | 1 | 0
13633 | 1 | 1
13662 | 1 | 1
13681 | 0 | 1
13691 | 0 | 0
13692 | 1 | 0
13701 | 1 | 0
13711 | 0 | 0
13721 | 1 | 1
13731 | 0 | 0
13741 | 0 | 0
13742 | 0 | 1
13751 | 1 | 1
13752 | 1 | 1
13753 | 1 | 0
13762 | 0 | 0
13763 | 0 | 0
13764 | 0 | 0
13765 | 0 | 0
138014 | 0 | 0
138015 | 0 | 0
138016 | 0 | 0
138017 | 1 | 1
13811 | 0 | 0
13812 | 0 | 0
13813 | 0 | 0
13814 | 0 | 0
13821 | 1 | 0
13822 | 1 | 0
13831 | 0 | 0
13832 | 0 | 1
13835 | 0 | 0
13836 | 1 | 1
13837 | 0 | 1
13838 | 0 | 0
13839 | 0 | 0
138310 | 1 | 1
13862 | 1 | 1
13911 | 1 | 1
13951 | 1 | 1
13953 | 1 | 1
13954 | 1 | 1
13981 | 1 | 0
13991 | 1 | 1
14041 | 0 | 0
14042 | 0 | 0
14044 | 0 | 0
14045 | 0 | 0
14046 | 0 | 0
14047 | 0 | 0
14048 | 1 | 0
14049 | 0 | 1
140410 | 0 | 0
140411 | 0 | 0
140412 | 0 | 0
140413 | 0 | 0
140414 | 0 | 0
140415 | 0 | 0
14051 | 0 | 0
14061 | 1 | 0
14071 | 0 | 0
14072 | 0 | 0
14074 | 1 | 1
14081 | 1 | 0
14082 | 0 | 0
14091 | 0 | 0
14092 | 0 | 0
14093 | 0 | 0
14094 | 1 | 1
14111 | 1 | 1
14131 | 0 | 0
14141 | 1 | 0
14181 | 1 | 0
14192 | 1 | 1
14193 | 1 | 1
14211 | 1 | 1
14213 | 1 | 1
14221 | 1 | 1
14241 | 0 | 0
14242 | 0 | 0
14251 | 0 | 0
14252 | 0 | 0
14261 | 0 | 0
14262 | 0 | 0
14263 | 0 | 0
14282 | 0 | 0
14291 | 0 | 0
14292 | 0 | 0
14293 | 1 | 0
14294 | 0 | 0
14295 | 0 | 0
14297 | 1 | 1
14298 | 0 | 0
14299 | 0 | 0
14301 | 1 | 1
14311 | 0 | 1
14312 | 0 | 0
14321 | 1 | 0
14331 | 0 | 1
14341 | 0 | 0
14351 | 1 | 0
14352 | 0 | 0
14353 | 0 | 0
14354 | 0 | 0
14371 | 0 | 0
14372 | 0 | 0
14381 | 1 | 1
14382 | 0 | 0
14401 | 0 | 0
14402 | 0 | 1
14404 | 1 | 0
144015 | 1 | 0
144016 | 1 | 0
14433 | 0 | 0
14434 | 0 | 0
14435 | 0 | 0
14436 | 0 | 0
14437 | 0 | 0
14438 | 0 | 0
14439 | 1 | 0
144310 | 1 | 1
14442 | 1 | 1
14443 | 0 | 0
14451 | 0 | 0
14461 | 1 | 1
14462 | 0 | 0
14463 | 1 | 1
14481 | 1 | 0
14491 | 1 | 1
14492 | 0 | 0
14493 | 1 | 0
14494 | 1 | 0
14495 | 0 | 0
14496 | 0 | 0
14497 | 0 | 0
144910 | 1 | 1
144917 | 0 | 0
14512 | 1 | 0
14523 | 1 | 0
14541 | 1 | 1
14551 | 1 | 1
14564 | 1 | 0
14591 | 1 | 0
14606 | 1 | 0
14642 | 0 | 0
14643 | 0 | 0
14651 | 0 | 0
14652 | 0 | 1
14663 | 1 | 0
14671 | 1 | 1
14691 | 1 | 1
14701 | 1 | 1
14702 | 1 | 0
14711 | 1 | 0
14722 | 1 | 1
14731 | 1 | 0
14763 | 1 | 0
14771 | 1 | 1
14772 | 1 | 0
14792 | 1 | 0
14795 | 1 | 0
14796 | 1 | 1
14797 | 1 | 1
14812 | 1 | 0
14814 | 1 | 1
14853 | 1 | 0
148510 | 1 | 0
148512 | 1 | 1
14887 | 1 | 0
14901 | 1 | 0
14911 | 0 | 0
14921 | 0 | 0
14922 | 0 | 0
14923 | 0 | 0
14924 | 1 | 1
14987 | 1 | 1
14991 | 1 | 0
15008 | 1 | 0
15009 | 1 | 0
15041 | 1 | 0
15076 | 1 | 1
15091 | 1 | 1
15126 | 1 | 1
15128 | 1 | 1
15143 | 1 | 1
151411 | 1 | 1
151416 | 1 | 1
15152 | 1 | 0
15156 | 1 | 1
15158 | 1 | 1
151510 | 1 | 0
15193 | 1 | 1
15195 | 1 | 1
15196 | 1 | 1
15202 | 1 | 0
15203 | 0 | 0
15204 | 1 | 0
15205 | 1 | 0
15211 | 0 | 0
15213 | 0 | 0
15221 | 1 | 0
15231 | 0 | 0
15232 | 0 | 0
15233 | 1 | 0
15234 | 0 | 0
15235 | 0 | 1
15241 | 0 | 0
