nGramConfig,minFrequency,notFeature,F1
1,1,1,N/A
1,2,1,N/A
1,3,1,N/A
1,4,1,N/A
1,5,1,N/A
1,10,1,N/A
1,15,1,N/A
1,20,1,N/A
1,50,1,N/A
1,100,1,0.06521739130434784
2,1,1,0.288135593220339
2,2,1,0.2833333333333334
2,3,1,0.3
2,4,1,0.3089430894308943
2,5,1,0.3064516129032258
2,10,1,0.32
2,15,1,0.2903225806451613
2,20,1,0.3333333333333333
2,50,1,0.30158730158730157
2,100,1,0.29457364341085274
3,1,1,0.3936170212765957
3,2,1,0.4180790960451978
3,3,1,0.41379310344827586
3,4,1,0.4024390243902439
3,5,1,0.4076433121019109
3,10,1,0.36231884057971014
3,15,1,0.37209302325581395
3,20,1,0.336
3,50,1,0.3185840707964602
3,100,1,0.28301886792452835
4,1,1,0.430379746835443
4,2,1,0.34426229508196726
4,3,1,0.29824561403508776
4,4,1,0.25688073394495414
4,5,1,0.2616822429906542
4,10,1,0.23300970873786406
4,15,1,0.22222222222222224
4,20,1,0.22222222222222224
4,50,1,0.18556701030927833
4,100,1,N/A
12,1,1,0.08695652173913043
12,2,1,0.08695652173913043
12,3,1,0.08695652173913043
12,4,1,0.08695652173913043
12,5,1,0.08695652173913043
12,10,1,0.08695652173913043
12,15,1,0.08695652173913043
12,20,1,0.08695652173913043
12,50,1,0.08602150537634408
12,100,1,0.06382978723404255
13,1,1,0.044444444444444446
13,2,1,0.044444444444444446
13,3,1,0.044444444444444446
13,4,1,0.044444444444444446
13,5,1,0.044444444444444446
13,10,1,0.044444444444444446
13,15,1,0.044444444444444446
13,20,1,0.044444444444444446
13,50,1,0.06451612903225806
13,100,1,0.1782178217821782
14,1,1,0.044444444444444446
14,2,1,0.044444444444444446
14,3,1,0.044444444444444446
14,4,1,0.044444444444444446
14,5,1,0.044444444444444446
14,10,1,0.044444444444444446
14,15,1,0.0449438202247191
14,20,1,0.0449438202247191
14,50,1,0.06593406593406594
14,100,1,0.06521739130434784
23,1,1,0.35200000000000004
23,2,1,0.3464566929133858
23,3,1,0.3622047244094488
23,4,1,0.36923076923076925
23,5,1,0.36923076923076925
23,10,1,0.36923076923076925
23,15,1,0.328125
23,20,1,0.36923076923076925
23,50,1,0.3125
23,100,1,0.29457364341085274
24,1,1,0.3140495867768595
24,2,1,0.3089430894308943
24,3,1,0.3252032520325204
24,4,1,0.3333333333333333
24,5,1,0.3333333333333333
24,10,1,0.3333333333333333
24,15,1,0.31746031746031744
24,20,1,0.3464566929133858
24,50,1,0.31496062992125984
24,100,1,0.29457364341085274
34,1,1,0.3915343915343915
34,2,1,0.4157303370786517
34,3,1,0.4114285714285714
34,4,1,0.4024390243902439
34,5,1,0.4076433121019109
34,10,1,0.36231884057971014
34,15,1,0.37209302325581395
34,20,1,0.336
34,50,1,0.3185840707964602
34,100,1,0.28301886792452835
123,1,1,0.1075268817204301
123,2,1,0.1075268817204301
123,3,1,0.1075268817204301
123,4,1,0.1075268817204301
123,5,1,0.1075268817204301
123,10,1,0.1075268817204301
123,15,1,0.1075268817204301
123,20,1,0.1075268817204301
123,50,1,0.10526315789473682
123,100,1,0.1616161616161616
124,1,1,0.10638297872340424
124,2,1,0.10638297872340424
124,3,1,0.10638297872340424
124,4,1,0.10638297872340424
124,5,1,0.10638297872340424
124,10,1,0.10638297872340424
124,15,1,0.1075268817204301
124,20,1,0.1075268817204301
124,50,1,0.12631578947368421
124,100,1,0.06382978723404255
234,1,1,0.35200000000000004
234,2,1,0.3464566929133858
234,3,1,0.3622047244094488
234,4,1,0.36923076923076925
234,5,1,0.36923076923076925
234,10,1,0.36923076923076925
234,15,1,0.3410852713178295
234,20,1,0.36923076923076925
234,50,1,0.32558139534883723
234,100,1,0.29457364341085274
1234,1,1,0.10638297872340424
1234,2,1,0.10638297872340424
1234,3,1,0.10638297872340424
1234,4,1,0.10638297872340424
1234,5,1,0.10638297872340424
1234,10,1,0.10638297872340424
1234,15,1,0.1075268817204301
